Place Player Rating Mu Sigma #Matches #Forfeits
133 skurd 22.864 24.655 1.194 17 4
134 Arzga 22.852 24.378 1.017 22 0
135 George 22.846 24.678 1.221 15 4
136 Edenal 22.726 24.731 1.336 17 3
137 noxian 22.629 24.938 1.539 11 4
138 OrvilleRednDead 22.624 24.72 1.397 13 1
139 Jeffdamann 22.551 25.213 1.775 8 3
140 Therio 22.541 24.705 1.443 14 4
141 knox 22.527 23.108 0.387 167 52
142 cooltraineradam 22.519 23.848 0.886 28 5
143 CavemanDCJ 22.486 24.993 1.672 9 1
144 jimmypoopins 22.469 25.463 1.996 6 2
145 khananaphone 22.464 24.613 1.433 14 2
146 Brormanis 22.417 25.209 1.862 6 2
147 Jamesbuc 22.35 24.541 1.461 10 2
148 RidleyDragon 22.264 23.372 0.739 39 7
149 Sammie 22.253 23.886 1.089 18 4
150 btrim 22.227 24.708 1.654 9 3
151 shrimp 22.214 23.768 1.036 21 5
152 BobertJoe 22.198 24.119 1.281 15 4
153 SirFist 22.183 23.877 1.13 20 7
154 NikoJazz 22.175 24.233 1.372 12 0
155 TheWhitley 22.172 24.619 1.631 8 0
156 abobobama 22.151 25.414 2.175 6 2
157 VultuZ 22.111 25.007 1.931 6 0
158 countdown42 22.078 22.956 0.585 74 31
159 garbanzoguy 22.057 23.904 1.232 16 4
160 xetrov 21.945 23.491 1.031 25 7
161 DSkye 21.926 24.622 1.798 8 0
162 Twinge 21.919 23.657 1.159 21 7
163 nudua 21.763 22.74 0.651 54 13
164 Hopscotch007 21.758 22.791 0.689 49 5
165 CivilYoshi 21.714 22.907 0.795 35 10
166 freeball1 21.68 22.474 0.53 87 22
167 WhenChukAttacks 21.611 23.93 1.546 10 3
168 Zyre 21.591 24.002 1.608 9 2
169 DSMidna 21.562 24.633 2.047 7 2
170 stauken 21.559 22.614 0.703 52 15
171 Palidian 21.551 22.614 0.709 54 15
172 LeFrozer 21.468 23.12 1.102 19 6
173 theJUICE 21.39 24.509 2.08 6 2
174 Copilot 21.37 23.114 1.163 23 8
175 CardsOfTheHeart 21.255 22.585 0.886 33 1
176 golfdinger 21.155 23.018 1.242 15 3
177 Kirua 21.129 22.089 0.64 61 12
178 laml 21.102 22.076 0.649 60 22
